camera,day,frame_file,timestamp,person_count
balcony,day1,balcony_day1_18-05-21.jpg,18:05:21,5
balcony,day1,balcony_day1_18-05-24.jpg,18:05:24,7
balcony,day1,balcony_day1_18-05-27.jpg,18:05:27,5
balcony,day1,balcony_day1_18-05-30.jpg,18:05:30,4
balcony,day1,balcony_day1_18-05-33.jpg,18:05:33,4
balcony,day1,balcony_day1_18-05-36.jpg,18:05:36,4
balcony,day1,balcony_day1_18-05-39.jpg,18:05:39,6
balcony,day1,balcony_day1_18-05-42.jpg,18:05:42,5
balcony,day1,balcony_day1_18-05-45.jpg,18:05:45,4
balcony,day1,balcony_day1_18-05-48.jpg,18:05:48,4
balcony,day1,balcony_day1_18-05-51.jpg,18:05:51,8
balcony,day1,balcony_day1_18-05-54.jpg,18:05:54,3
balcony,day1,balcony_day1_18-05-57.jpg,18:05:57,6
balcony,day1,balcony_day1_18-06-00.jpg,18:06:00,3
balcony,day1,balcony_day1_18-06-03.jpg,18:06:03,2
balcony,day1,balcony_day1_18-06-06.jpg,18:06:06,6
balcony,day1,balcony_day1_18-06-09.jpg,18:06:09,6
balcony,day1,balcony_day1_18-06-12.jpg,18:06:12,3
balcony,day1,balcony_day1_18-06-15.jpg,18:06:15,5
balcony,day1,balcony_day1_18-06-18.jpg,18:06:18,8
balcony,day1,balcony_day1_18-06-21.jpg,18:06:21,7
balcony,day1,balcony_day1_18-06-24.jpg,18:06:24,15
balcony,day1,balcony_day1_18-06-27.jpg,18:06:27,11
balcony,day1,balcony_day1_18-06-30.jpg,18:06:30,12
balcony,day1,balcony_day1_18-06-33.jpg,18:06:33,5
balcony,day1,balcony_day1_18-06-36.jpg,18:06:36,7
balcony,day1,balcony_day1_18-06-39.jpg,18:06:39,7
balcony,day1,balcony_day1_18-06-42.jpg,18:06:42,5
balcony,day1,balcony_day1_18-06-45.jpg,18:06:45,7
balcony,day1,balcony_day1_18-06-48.jpg,18:06:48,7
balcony,day1,balcony_day1_18-06-51.jpg,18:06:51,5
balcony,day1,balcony_day1_18-06-54.jpg,18:06:54,4
balcony,day1,balcony_day1_18-06-57.jpg,18:06:57,2
balcony,day1,balcony_day1_18-07-00.jpg,18:07:00,3
balcony,day1,balcony_day1_18-07-03.jpg,18:07:03,2
balcony,day1,balcony_day1_18-07-06.jpg,18:07:06,2
balcony,day1,balcony_day1_18-07-09.jpg,18:07:09,3
balcony,day1,balcony_day1_18-07-12.jpg,18:07:12,1
balcony,day1,balcony_day1_18-07-24.jpg,18:07:24,1
balcony,day1,balcony_day1_18-08-00.jpg,18:08:00,2
balcony,day1,balcony_day1_18-08-03.jpg,18:08:03,1
balcony,day1,balcony_day1_18-08-15.jpg,18:08:15,2
balcony,day1,balcony_day1_18-08-18.jpg,18:08:18,1
balcony,day1,balcony_day1_18-08-21.jpg,18:08:21,1
balcony,day1,balcony_day1_18-08-24.jpg,18:08:24,1
balcony,day1,balcony_day1_18-08-27.jpg,18:08:27,1
balcony,day1,balcony_day1_18-08-30.jpg,18:08:30,2
balcony,day1,balcony_day1_18-08-33.jpg,18:08:33,5
balcony,day1,balcony_day1_18-08-36.jpg,18:08:36,4
balcony,day1,balcony_day1_18-08-39.jpg,18:08:39,10
balcony,day1,balcony_day1_18-08-42.jpg,18:08:42,11
balcony,day1,balcony_day1_18-08-45.jpg,18:08:45,9
balcony,day1,balcony_day1_18-08-48.jpg,18:08:48,7
balcony,day1,balcony_day1_18-08-51.jpg,18:08:51,4
balcony,day1,balcony_day1_18-08-54.jpg,18:08:54,6
balcony,day1,balcony_day1_18-08-57.jpg,18:08:57,5
balcony,day1,balcony_day1_18-09-00.jpg,18:09:00,12
balcony,day1,balcony_day1_18-09-03.jpg,18:09:03,7
balcony,day1,balcony_day1_18-09-06.jpg,18:09:06,9
balcony,day1,balcony_day1_18-09-09.jpg,18:09:09,9
balcony,day1,balcony_day1_18-09-12.jpg,18:09:12,9
balcony,day1,balcony_day1_18-09-15.jpg,18:09:15,9
balcony,day1,balcony_day1_18-09-18.jpg,18:09:18,10
balcony,day1,balcony_day1_18-09-21.jpg,18:09:21,15
balcony,day1,balcony_day1_18-09-24.jpg,18:09:24,10
balcony,day1,balcony_day1_18-09-27.jpg,18:09:27,10
balcony,day1,balcony_day1_18-09-30.jpg,18:09:30,3
balcony,day1,balcony_day1_18-09-33.jpg,18:09:33,2
balcony,day1,balcony_day1_18-09-36.jpg,18:09:36,1
balcony,day1,balcony_day1_18-09-39.jpg,18:09:39,2
balcony,day1,balcony_day1_18-09-42.jpg,18:09:42,2
balcony,day1,balcony_day1_18-09-45.jpg,18:09:45,2
balcony,day1,balcony_day1_18-09-48.jpg,18:09:48,2
balcony,day1,balcony_day1_18-09-51.jpg,18:09:51,4
balcony,day1,balcony_day1_18-09-54.jpg,18:09:54,5
balcony,day1,balcony_day1_18-09-57.jpg,18:09:57,5
balcony,day1,balcony_day1_18-10-00.jpg,18:10:00,5
balcony,day1,balcony_day1_18-10-03.jpg,18:10:03,5
balcony,day1,balcony_day1_18-10-06.jpg,18:10:06,6
balcony,day1,balcony_day1_18-10-09.jpg,18:10:09,5
balcony,day1,balcony_day1_18-10-12.jpg,18:10:12,5
balcony,day1,balcony_day1_18-10-15.jpg,18:10:15,2
balcony,day1,balcony_day1_18-10-18.jpg,18:10:18,2
balcony,day1,balcony_day1_18-10-21.jpg,18:10:21,6
balcony,day1,balcony_day1_18-10-24.jpg,18:10:24,5
balcony,day1,balcony_day1_18-10-27.jpg,18:10:27,4
